Date,Open,High,Low,Close
11/13/2019,"186.13","189.14","185.12","187.23"
11/12/2019,"185.97","187.25","182.09","186.13"
11/11/2019,"189.68","190.38","184.69","185.97"
11/10/2019,"184.70","191.60","183.41","189.56"
11/09/2019,"185.51","185.65","182.80","184.70"
11/08/2019,"186.50","188.16","181.10","185.51"
11/07/2019,"190.52","192.13","184.40","186.50"
11/06/2019,"190.14","194.22","188.00","190.51"
11/05/2019,"186.36","191.74","182.62","190.13"
11/04/2019,"180.76","188.84","180.44","186.36"
11/03/2019,"183.14","184.93","179.01","180.71"
11/02/2019,"184.48","185.67","182.08","183.13"
11/01/2019,"181.18","184.52","178.49","184.48"
10/31/2019,"183.06","185.55","178.22","181.23"
10/30/2019,"191.43","193.00","180.52","183.06"
10/29/2019,"184.63","193.08","181.79","191.73"
10/28/2019,"186.52","189.80","180.84","183.99"
10/27/2019,"178.93","189.14","176.94","186.50"
10/26/2019,"180.98","198.63","174.03","178.94"
10/25/2019,"161.01","187.62","160.00","180.98"
10/24/2019,"160.48","163.88","158.99","160.89"
10/23/2019,"172.28","172.92","153.24","160.48"
10/22/2019,"173.71","175.39","170.79","172.32"
10/21/2019,"174.83","178.34","171.83","173.69"
10/20/2019,"171.66","176.56","169.67","174.83"
10/19/2019,"174.05","175.03","170.06","171.53"
10/18/2019,"176.27","177.48","168.58","174.03"
10/17/2019,"174.39","179.09","172.78","176.32"
10/16/2019,"178.15","180.93","172.01","174.32"
10/15/2019,"186.92","188.66","177.99","178.71"
10/14/2019,"180.76","187.54","180.10","187.10"
10/13/2019,"180.48","184.84","179.00","180.80"
10/12/2019,"181.72","184.71","177.86","180.48"
10/11/2019,"192.25","197.01","180.05","181.80"
10/10/2019,"192.58","195.72","188.00","192.18"
10/09/2019,"177.54","194.70","177.54","192.66"
10/08/2019,"178.98","185.34","177.66","177.66"
10/07/2019,"171.24","182.55","168.59","178.98"
10/06/2019,"175.23","177.17","168.00","171.13"
10/05/2019,"177.41","177.58","172.14","175.23"
10/04/2019,"172.75","179.35","171.15","177.41"
10/03/2019,"177.08","181.45","170.64","172.75"
10/02/2019,"177.69","178.74","174.10","177.08"
10/01/2019,"176.92","185.79","174.35","177.69"
09/30/2019,"168.61","180.67","165.26","176.92"
09/29/2019,"174.41","175.22","165.12","168.61"
09/28/2019,"170.91","177.10","168.62","174.41"
09/27/2019,"164.00","171.76","161.42","170.98"
09/26/2019,"170.27","173.13","153.00","164.00"
09/25/2019,"164.88","174.92","162.71","170.60"
09/24/2019,"204.82","204.82","155.03","165.83"
09/23/2019,"208.22","212.00","204.68","204.68"
09/22/2019,"215.90","216.73","206.13","208.22"
09/21/2019,"216.29","221.51","214.00","215.90"
09/20/2019,"219.80","222.96","212.38","216.29"
09/19/2019,"211.30","224.06","202.77","219.80"
09/18/2019,"213.04","217.68","207.23","211.31"
09/17/2019,"199.07","214.03","196.10","213.18"
09/16/2019,"189.18","199.22","188.43","199.03"
09/15/2019,"188.39","190.99","186.60","189.18"
09/14/2019,"180.98","189.26","180.23","188.39"
09/13/2019,"180.03","182.65","177.62","180.97"
09/12/2019,"176.93","180.79","176.52","179.88"
09/11/2019,"178.10","181.83","174.81","176.93"
09/10/2019,"179.39","184.37","176.93","178.08"
09/09/2019,"180.14","185.56","176.25","179.39"
09/08/2019,"179.16","184.27","176.53","180.14"
09/07/2019,"168.68","180.89","168.19","179.15"
09/06/2019,"172.20","178.40","166.94","168.74"
09/05/2019,"176.50","177.40","170.70","172.00"
09/04/2019,"181.45","181.45","175.13","176.50"
09/03/2019,"179.88","183.09","175.31","181.45"
09/02/2019,"170.31","181.32","170.31","180.07"
09/01/2019,"166.54","174.90","166.49","170.31"
08/31/2019,"169.22","169.51","165.93","166.54"
08/30/2019,"169.67","170.34","165.73","169.23"
08/29/2019,"171.60","173.90","163.89","169.67"
08/28/2019,"186.70","188.03","166.23","171.46"
08/27/2019,"186.44","188.99","184.57","186.70"
08/26/2019,"184.45","194.28","183.31","186.44"
08/25/2019,"189.48","192.41","183.62","184.45"
08/24/2019,"192.93","195.00","186.57","189.53"
08/23/2019,"192.23","196.60","188.74","192.59"
08/22/2019,"185.55","194.93","182.81","192.62"
08/21/2019,"196.62","198.58","180.41","185.67"
08/20/2019,"198.31","203.54","194.76","195.80"
08/19/2019,"195.42","202.70","193.15","198.31"
08/18/2019,"182.90","197.99","182.68","195.42"
08/17/2019,"185.25","187.68","182.13","182.90"
08/16/2019,"187.22","189.45","178.00","185.25"
08/15/2019,"188.20","190.00","174.21","186.90"
08/14/2019,"207.31","209.90","182.73","188.20"
08/13/2019,"212.00","212.12","204.10","207.31"
08/12/2019,"215.14","216.55","209.98","212.11"
08/11/2019,"206.72","215.98","205.12","215.11"
08/10/2019,"209.16","214.70","201.55","206.95"
08/09/2019,"217.58","221.39","206.86","209.16"
08/08/2019,"224.23","226.84","215.23","217.58"
08/07/2019,"225.89","230.94","220.64","224.33"
08/06/2019,"231.96","239.32","225.24","225.89"
08/05/2019,"221.60","236.49","220.18","232.00"
08/04/2019,"222.19","223.36","217.43","221.50"
08/03/2019,"215.93","224.34","215.02","222.12"
08/02/2019,"217.68","222.68","215.15","215.94"
